Proposal ID,Programme Name,Lead Applicant,Research Body,Title of Research,Start Date,End Date,Revised Total Commitment (including overhead)
15/CDA/3451,SFI Career Development Award,Angela Feechan,University College Dublin (UCD),ReWIZ: Re-establishing Wheat Immunity to Zymoseptoria tritici,12/09/2017,11/09/2021,"523,698"
15/SIRG/3324,SFI Starting Investigator Research Grant (SIRG),Lorna Lopez,Trinity College Dublin (TCD),Discovery to clinical utility of rare mutations by whole genome sequencing in neurodevelopmental disorders,01/08/2017,31/07/2021,"511,997"
15/IFB/3626,SFI Industry Fellowship,Tandra Ghoshal,University College Cork (UCC),Innovative protocol for the development of nanoporous/nanostructured materials patterning using block copolymer lithography for advanced optoelectronic thermal management,01/04/2017,31/03/2018,"82,521"
15/SIRG/3538,SFI Starting Investigator Research Grant (SIRG),Antonio Benedetto,University College Dublin (UCD),Breathing Life into Room-Temperature Ionic Liquids: a Comprehensive Experimental and Computational Study of their Interaction with Biomolecules,01/01/2017,31/12/2020,"499,376"
15/IA/3024 EPA(N),SFI Investigator Programme,Brian Donlon,Environmental Protection Agency (EPA),Developing geochronology by LA-ICPMS imaging: applications of U-Pb calcite dating in raw materials research,01/12/2016,30/11/2021,"-215,973"
15/IA/3024 GSI(N),SFI Investigator Programme,Koen Verbruggen,Geological Survey of Ireland,Developing geochronology by LA-ICPMS imaging: applications of U-Pb calcite dating in raw materials research,01/12/2016,30/11/2021,"-215,973"
15/SIRG/3293,SFI Starting Investigator Research Grant (SIRG),Klaas-Jan Stol,University of Limerick (UL),Software Development with Alternative Workforces,01/12/2016,30/11/2020,"463,314"
15/SIRG/3501,SFI Starting Investigator Research Grant (SIRG),Liliana Pasquale,University College Dublin (UCD),Forensic Investigations for Cyber-Physical Incidents,01/12/2016,30/11/2020,"489,139"
15/CDA/3629,SFI Career Development Award,Dimitrios Zeugolis,"National University of Ireland, Galway (NUIG)",Tissue Engineered Nanoassemblies – Advanced Biomimicry of Living Equivalents (Short Title: TENABLE),01/12/2016,30/11/2020,"493,759"
15/CDA/3598,SFI Career Development Award,Gabriel Leen,University of Limerick (UL),Optical Fibre based sensors,01/12/2016,30/11/2020,"504,825"
15/SIRG/3569,SFI Starting Investigator Research Grant (SIRG),Santosh Kulkarni,Tyndall National Institute (TNI),Advanced Power Magnetics Programme for High Efficiency Power Supplies,01/12/2016,30/11/2020,"508,011"
15/SIRG/3552,SFI Starting Investigator Research Grant (SIRG),Ahmad B. Albadarin,University of Limerick (UL),Natural matErials for Advanced Therapeutics (NEAT): Biomaterial Derived Excipients for Improved Bioavailability,01/12/2016,30/11/2020,"509,184"
15/SIRG/3456,SFI Starting Investigator Research Grant (SIRG),Aideen Ryan,"National University of Ireland, Galway (NUIG)",RESTRAIN' Investigation of tumour stromal interactions in metastatic colon cancer for the identification of novel immuno-therapeutic targets,01/12/2016,30/11/2020,"518,821"
15/SIRG/3482,SFI Starting Investigator Research Grant (SIRG),Naomi Walsh,Dublin City University (DCU),Functional application of genomic variants to deliver personalized strategies for pancreatic cancer patients,01/12/2016,30/11/2020,"519,712"
16/ERCD/3685,SFI ERC Development Programme,Stephen Dooley,Trinity College Dublin (TCD),Synthesis and Purification of Hydroperoxides from Liquid Fuels and Demonstration of their Ability to Extend Low Temperature and Lean Combustion Limits in Reciprocating Engines,01/12/2016,30/11/2018,"529,168"
15/CDA/3640,SFI Career Development Award,Prince Anandarajah,Dublin City University (DCU),PROgrammable multicarrier Transmitter for flexible Optical Networks (PROTON),01/12/2016,30/11/2020,"583,138"
15/CDA/3472,SFI Career Development Award,Tristan McLoughlin,Trinity College Dublin (TCD),Exact Methods in Strongly Coupled Systems,01/12/2016,30/11/2020,"620,974"
15/CDA/3490,SFI Career Development Award,Eoin Cummins,University College Dublin (UCD),Carbon dioxide as a regulator of inflammatory signaling.,01/12/2016,30/11/2020,"628,349"
15/CDA/3625,SFI Career Development Award,Eoghan McGarrigle,University College Dublin (UCD),Underpinning Automated Oligosaccharide Synthesis,01/12/2016,30/11/2020,"636,595"
15/CDA/3476,SFI Career Development Award,Conor Buckley,Trinity College Dublin (TCD),Intraoperative Single Stage Procedure for Intervertebral Disc Regeneration (INSPIRE),01/12/2016,30/11/2020,"637,894"
15/CDA/3497,SFI Career Development Award,Sarah Doyle,Trinity College Dublin (TCD),Investigating the molecular mechanisms underlying Interleukin-1 family regulation of vascular integrity in the eye to identify next generation therapeutics for AMD.,01/12/2016,30/11/2020,"638,309"
15/CDA/3498,SFI Career Development Award,Gerard O'Keeffe,University College Cork (UCC),Development of GDF5 neurotrophic factor therapy for Parkinson’s disease.,01/12/2016,30/11/2020,"639,453"
15/CDA/3648,SFI Career Development Award,Andrew Kellett,Dublin City University (DCU),Polynuclear Platinum(II) Biomaterials (PPtBio) for Antisense Therapeutic Application and Detection of Human Genetic Disease,01/12/2016,30/11/2020,"642,150"
15/IA/3024,SFI Investigator Programme,David Chew,Trinity College Dublin (TCD),Developing geochronology by LA-ICPMS imaging: applications of U-Pb calcite dating in raw materials research,01/12/2016,30/11/2021,"647,921"
15/CDA/3652,SFI Career Development Award,Jian Zhao,Tyndall National Institute (TNI),Technologies towards Flexible High-Capacity Optical Networks,01/12/2016,30/11/2020,"877,013"
15/IA/2984,SFI Investigator Programme,Aoife Gowen,University College Dublin (UCD),Multi-scale hyperspectral imaging for enhanced understanding and control of food microbiology (HyperMicroMacro),01/12/2016,30/11/2021,"1,548,873"
15/SIRG/3423,SFI Starting Investigator Research Grant (SIRG),Yan Yan,University College Dublin (UCD),Defining the dynamic interface between nanoparticles and immune system,18/11/2016,17/11/2020,"517,342"
16/ERCS/4364,SFI ERC Support Programme,Dean of Research (TCD),Trinity College Dublin (TCD),SFI ERC Support Programme - Jonathan Coleman (Trinity College Dublin),01/11/2016,31/10/2021,"150,000"
16/ERCD/4303,SFI ERC Development Programme,Javier Fullea,Dublin Institute for Advanced Studies (DIAS),iTHERC: An integrated geophysical-petrological THERmoChemical model of Ireland’s and North Atlantic crust and lithospheric mantle,01/11/2016,31/10/2018,"509,099"
15/SIRG/3508(T),SFI Starting Investigator Research Grant (SIRG),Jianghui Meng,Dublin City University (DCU),Unravelling the role of SNARE proteins in pruritus (itch) and developing novel SNARE-targeting biotherapeutics for treating chronic itch,01/11/2016,31/10/2020,"519,441"
15/SIRG/3426,SFI Starting Investigator Research Grant (SIRG),Stephen Lalor,Trinity College Dublin (TCD),The role of the respiratory microbiome in licensing pathogenic Th17 cells to access the CNS and mediate inflammatory demyelination,01/11/2016,31/10/2020,"519,739"
15/CDA/3667,SFI Career Development Award,Bryan Hennelly,"National University of Ireland, Maynooth (NUIM)",Automated Raman micro-spectroscopy and automated holographic Raman tweezers for high throughput screening of carcinoma cells,01/11/2016,31/10/2020,"601,611"
16/ERCD/3797,SFI ERC Development Programme,Robert Whelan,Trinity College Dublin (TCD),"The Neurobiology of Voluntary Nicotine Abstinence: Genetics, Environment and Neurocognitive Endophenotypes",01/11/2016,31/10/2018,"608,419"
15/CDA/3499,SFI Career Development Award,Roger Preston,Royal College of Surgeons in Ireland (RCSI),Structure-based engineering of activated protein C to optimize its therapeutic potential for the treatment of inflammatory diseases,01/11/2016,31/10/2020,"638,694"
15/IA/3008,SFI Investigator Programme,Eoin Casey,University College Dublin (UCD),Interactions between bacterial biofilms and nanoparticles: a focus on the EPS matrix,01/11/2016,31/10/2020,"1,176,703"
15/IA/2880,SFI Investigator Programme,Tom Ray,Dublin Institute for Advanced Studies (DIAS),Building the Next Generation MKID Camera,01/11/2016,31/10/2020,"1,600,200"
16/CW/3995,SFI Conference and Workshop,Denis Shields,University College Dublin (UCD),7th Annual Computational and Molecular Biology PhD Symposium,01/10/2016,31/03/2017,"2,936"
15/IFB/3519,SFI Industry Fellowship,Sivaramakrishnan Ramadurai,Dublin City University (DCU),Influence of formulation on Bisphosphonate lipid membrane interactions investigated on MemSense Platform,01/10/2016,30/09/2017,"76,782"
14/IFB/2718(T),SFI Industry Fellowship,Maria Chiara Leva,Dublin Institute of Technology (DIT),The Development of an Integrated Risk Register for Process Safety Performance Improvement: a Participatory Trial,01/10/2016,31/10/2017,"103,792"
15/SIRG/3283,SFI Starting Investigator Research Grant (SIRG),Kevin McGuinness,Dublin City University (DCU),Large scale semi-supervised deep learning for computer vision,01/10/2016,30/09/2020,"456,875"
15/SIRG/3577,SFI Starting Investigator Research Grant (SIRG),Matteo Lusi,University of Limerick (UL),Crystal Engineering of Solid-Solutions for Tunable Drugs,01/10/2016,30/09/2020,"485,530"
15/SIRG/3329,SFI Starting Investigator Research Grant (SIRG),Niall McEvoy,Trinity College Dublin (TCD),Synthesis and Characterisation of 2D-Material Heterostacks,01/10/2016,30/09/2020,"503,335"
15/SIRG/3517,SFI Starting Investigator Research Grant (SIRG),James Walsh,Dublin City University (DCU),CARBCAP: Organocatalytic CO2 reduction on high surface-area electrodes.,01/10/2016,30/09/2020,"503,478"
15/CDA/3520,SFI Career Development Award,Brian Mac Namee,University College Dublin (UCD),DeepNovelty: Using Deep Recurrent Neural Networks for Novelty Detection in Data Streams,01/10/2016,30/09/2020,"507,512"
15/SIRG/3473,SFI Starting Investigator Research Grant (SIRG),Emily Hams,Trinity College Dublin (TCD),Defining the role of RORα in immunometabolism,01/10/2016,30/09/2020,"517,213"
15/SIRG/3543,SFI Starting Investigator Research Grant (SIRG),Laura Russo,"National University of Ireland, Galway (NUIG)",Glyco-functionalised Hydrogel for Intervertebral Disc Tissue Repair,01/10/2016,30/09/2020,"518,749"
15/SIRG/3430,SFI Starting Investigator Research Grant (SIRG),Jennifer Mahony,University College Cork (UCC),Phage-host interactome of the dairy bacterium Streptococcus thermophilus (PHIST),01/10/2016,30/09/2020,"519,492"
15/CDA/3591,SFI Career Development Award,Simon Kelly,University College Dublin (UCD),Neural mechanisms of rapid value-guided sensorimotor decisions in humans,01/10/2016,30/09/2020,"605,120"
15/CDA/3630,SFI Career Development Award,Mark Tangney,University College Cork (UCC),Edible Probiotics As Cancer Theranostics,01/10/2016,30/09/2020,"605,767"
15/CDA/3323,SFI Career Development Award,Michael Walsh,University of Limerick (UL),"Targeting the temporal gradient of wall shear stress as the key mediator of vascular tissue response to implanted medical devices using in silico, in vitro and in vivo approaches",01/10/2016,30/09/2020,"612,735"
15/CDA/3310,SFI Career Development Award,Eoin Scanlan,Trinity College Dublin (TCD),A Novel Ligation Methodology for the Chemical Synthesis of Therapeutic Proteins,01/10/2016,30/09/2020,"632,078"
15/CDA/3438,SFI Career Development Award,Darran O'Connor,Royal College of Surgeons in Ireland (RCSI),HER CHOICE: Development of a prototype decision support tool for HER2+ breast cancer,01/10/2016,30/09/2020,"647,925"
15/IA/3023,SFI Investigator Programme,Martin Ulrich Hegner,Trinity College Dublin (TCD),Nanomechanical detection of noncoding RNA for diagnosis in biological fluids,01/10/2016,30/09/2020,"1,276,291"
15/IA/3131,SFI Investigator Programme,Georg Duesberg,Trinity College Dublin (TCD),Investigating Emerging 2D Semiconductor Technology,01/10/2016,30/09/2020,"1,877,163"
15/IA/3015,SFI Investigator Programme,Martyn Pemble,Tyndall National Institute (TNI),"Design, Deposition and Exploitation of Novel Micro and Nano-scale Materials and Devices for Advanced Manufacturing- DEPO-Man",01/10/2016,30/09/2020,"1,938,557"
16/ERCS/4362,SFI ERC Support Programme,Dean of Research (TCD),Trinity College Dublin (TCD),SFI ERC Support Programme-Aidan McDonald (Trinity College Dublin),15/09/2016,14/09/2021,"150,000"
15/IA/3100 MI(N),SFI Investigator Programme,John Evans,Marine Institute,Exploiting and conserving deep-sea genetic resources,01/09/2016,31/08/2021,"-970,075"
15/TIDA/2822(T),SFI Technology and Innovation Development Award (TIDA),Roger Preston,Royal College of Surgeons in Ireland (RCSI),A novel neuroprotective agent for enhanced treatment of ischemic stroke,01/09/2016,31/08/2017,"68,408"
15/IFB/3604,SFI Industry Fellowship,Richard Doyle,Tyndall National Institute (TNI),Processing Technologies and Novel Materials for Electrochemical Sensor Developments based on Semiconductor Manufacturing and Integration,01/09/2016,31/08/2017,"84,257"
13/SIRG/2185(T),SFI Starting Investigator Research Grant (SIRG),Stephen Dooley,Trinity College Dublin (TCD),Realistic Reaction Kinetics Models for the Production of Platform Chemicals and Designer Fuels from Biomass,01/09/2016,31/08/2018,"390,425"
15/SIRG/3314,SFI Starting Investigator Research Grant (SIRG),Nuala Mai Caffrey,Trinity College Dublin (TCD),Between the Sheets - Atomic and Molecular Intercalation in Two Dimensional Layered Materials from First Principles,01/09/2016,31/08/2020,"453,766"
15/IA/2881,SFI Investigator Programme,Jonathan Yearsley,University College Dublin (UCD),"Biodiversity, resilience and food security: understanding the role of biodiversity in maintaining food production",01/09/2016,31/08/2020,"568,131"
16/ERCD/3854,SFI ERC Development Programme,Orla Hardiman,Trinity College Dublin (TCD),Deciphering ALS Heterogeneity: A Precision Medicine Approach to Network Based Biomarker Development,01/09/2016,31/08/2018,"610,640"
15/IA/3046,SFI Investigator Programme,Sylvia Draper,Trinity College Dublin (TCD),Targeting Synthetic and Material Advances in the Activity and Function of Light-emitting Molecular Complexes: New Platform Technologies Based on Polyaromatic Ligands,01/09/2016,31/08/2021,"1,356,177"
15/IA/3180,SFI Investigator Programme,Cian O'Mathuna,Tyndall National Institute (TNI),Advanced Integrated Power Magnetics Technology- From Atoms to Systems,01/09/2016,31/08/2020,"1,483,783"
15/IA/3082,SFI Investigator Programme,Eoin O'Reilly,Tyndall National Institute (TNI),Multiscale Simulation and Analysis of emerging Group IV and III-V Semiconductor Materials and Devices,01/09/2016,31/08/2020,"1,605,610"
15/IA/3177,SFI Investigator Programme,Henry Curran,"National University of Ireland, Galway (NUIG)",Combustion Chemistry for Sustainable Fuel Utilization,01/09/2016,31/08/2021,"1,714,058"
15/IA/3074,SFI Investigator Programme,Federico Milano,University College Dublin (UCD),Advanced Modelling for Power System Analysis and Simulation,01/09/2016,31/08/2021,"1,744,155"
15/IA/3160,SFI Investigator Programme,Stephen Fahy,Tyndall National Institute (TNI),Thermoelectric efficiency of IV-VI and V2-VI3 materials driven near phase transitions,01/09/2016,31/08/2020,"1,750,383"
15/IA/3052,SFI Investigator Programme,Marina Lynch,Trinity College Dublin (TCD),Targeting glial plasticity to alleviate age-related loss of neuronal function in Alzheimer’s disease,01/09/2016,31/08/2020,"1,786,484"
15/IA/3154,SFI Investigator Programme,David MacHugh,University College Dublin (UCD),Development of Next-Generation Control Tools for Bovine Tuberculosis: A One Health Approach,01/09/2016,31/08/2021,"1,849,519"
15/IA/3100,SFI Investigator Programme,Louise Allcock,"National University of Ireland, Galway (NUIG)",Exploiting and conserving deep-sea genetic resources,01/09/2016,31/08/2021,"1,940,150"
15/IA/3041,SFI Investigator Programme,Rachel McLoughlin,Trinity College Dublin (TCD),Profiling ‘immune signatures’ predictive of outcome in Staphylococcus aureus infection: Advancing next generation vaccine design,01/09/2016,31/08/2021,"2,192,331"
15/IA/3090,SFI Investigator Programme,Christopher Brunsdon,"National University of Ireland, Maynooth (NUIM)",Building city dashboards: Addressing fundamental and applied problems,01/09/2016,31/08/2020,"2,352,670"
15/IA/3104,SFI Investigator Programme,William Gallagher,University College Dublin (UCD),"Optimal Management of Gender-­Specific Cancers via Efficient Use of Protein Profiling, Digital Pathology and Systems Medicine Tools (OPTi-­PREDICT)",01/09/2016,31/08/2020,"2,510,941"
15/RP/2828,SFI Research Professorship Programme,Stefan Andersson-Engels,Tyndall National Institute (TNI),Novel applications and techniques for in vivo optical imaging and spectroscopy,01/09/2016,31/08/2021,"6,060,188"
15/RP/2773,SFI Research Professorship Programme,Paul Weaver,University of Limerick (UL),Spatially and Temporally VARIable COMPosite Structures (VARICOMP),01/09/2016,31/08/2021,"6,159,304"
16/CW/4128,SFI Conference and Workshop,Jonathan Bones,The National Institute for Bioprocessing Research and Training (NIBRT),BioPharma Ambition,15/08/2016,14/09/2016,"7,000"
13/SIRG/2130s(T),SFI Maternity Allowance,Annie Curtis,Royal College of Surgeons in Ireland (RCSI),A New Dimension to the Immune Response: Biological Molecular Clocks Controlling Inflammation.,15/08/2016,14/05/2017,"29,018"
13/SIRG/2130(T),SFI Starting Investigator Research Grant (SIRG),Annie Curtis,Royal College of Surgeons in Ireland (RCSI),A New Dimension to the Immune Response: Biological Molecular Clocks Controlling Inflammation.,15/08/2016,14/03/2019,"296,656"
15/IA/3152,SFI Investigator Programme,Catherine Godson,University College Dublin (UCD),Discovery of an integrated risk profile for chronic kidney disease and development of a clinical biomarker panel for personalising medicine,02/08/2016,01/08/2021,"1,171,485"
15/IA/3028 MI(N),SFI Investigator Programme,John Evans,Marine Institute,Wild farmed interactions in a changing world: formulation of a predictive methodology to inform environmental best practice to secure long-term sustainability of global wild and farm fish populations,01/08/2016,31/07/2021,"-854,794"
12/IA/1255s2,NSF/SFI Graduate Research Opportunities Worldwide (GROW) Programme,Martin Caffrey,Trinity College Dublin (TCD),Membrane Structural and Functional Biology. Tackling communicable and non-communicable diseases at the membrane level,01/08/2016,31/07/2017,"6,800"
16/CW/4323,SFI Conference and Workshop,Fiona Regan,Dublin City University (DCU),DPCM 2016 - IWA the international water association IWA Regional Conference on Diffuse Pollution and Catchment Management,01/08/2016,31/01/2017,"10,800"
16/CW/4056,SFI Conference and Workshop,Douwe van Sinderen,University College Cork (UCC),PropioBifido2016: 4th International Symposium on Propionibacteria and Bifidobacteria,01/08/2016,30/11/2016,"11,100"
16/ERCS/3904,SFI ERC Support Programme,VP Research (UCC),University College Cork (UCC),SFI ERC Support Programme – Maria McNamara (University College Cork),01/08/2016,31/07/2021,"272,473"
15/IA/3136,SFI Investigator Programme,Timothy O'Brien,"National University of Ireland, Galway (NUIG)",Combinational Cell Therapy for Diabetes-related Critical Limb Ischaemia,01/08/2016,31/07/2020,"739,074"
15/IA/3028,SFI Investigator Programme,Philip McGinnity,University College Cork (UCC),Wild farmed interactions in a changing world: formulation of a predictive methodology to inform environmental best practice to secure long-term sustainability of global wild and farm fish populations,01/08/2016,31/07/2021,"1,709,586"
16/FELLOWSHIP/1025,SFI Fellowship Programme,Orla Feely,University College Dublin (UCD),SFI Fellowship,04/07/2016,03/07/2019,"325,662"
16/CW/3951,SFI Conference and Workshop,Tobias Engel,Royal College of Surgeons in Ireland (RCSI),Neuroscience Ireland Young Investigator Workshop,01/07/2016,31/08/2016,"2,700"
16/CW/3956,SFI Conference and Workshop,Louise Kenny,University College Cork (UCC),"INFANT Research Workshop: "" Better Outcomes for Maternal, Fetal and Infant Health""",01/07/2016,31/08/2016,"3,000"
16/CW/3942,SFI Conference and Workshop,Vladimir Dotsenko,Trinity College Dublin (TCD),12th William Rowan Hamilton Geometry and Topology Workshop,01/07/2016,31/12/2016,"5,000"
14/TIDA/2486 TIDA Training 2015,SFI Technology and Innovation Development Award (TIDA) - Training Award,Eric Moore,Tyndall National Institute (TNI),Development of a minimally invasive smart impedance probe for detection of malignant and non-malignant breast masses,01/07/2016,30/06/2017,"5,500"
